Case_ID;57b428a6cef25a0a0d6681ac;;;;;;;;;;;;;;;;;;;;;;;;;;
Variant_ID;57b43118cef25a0a0d6681b1;;;;;;;;;;;;;;;;;;;;;;;;;;
Type;Buildings;;;;;;;;;;;;;;;;;;;;;;;;;;
building_ID;street_name;zip_code;footprint_area;building_type;amount_of_units;function;building_year;average_height(m);levels;building_style;roof_material;window_overall_ratio;EPCscore;heating_system;glazing_type;ventilation_type;wall_U;window_U;roof_U;occupants;heated_floor_area(m2);rent_per_month(euro);cost_electricity(euro/year);cost_district_heating(euro/year);cost_natural_gas(euro/year);cost_other_fuel(euro/year);operating_and_maintenance_costs(euro/year)
23T;Max Roosesstraat;2020;147,70;MFH terraced;10;residential;1923;19,33;5;brick;bitumen;0,24;140;gas;double;A;0,6655;2,8;0,444;;84,36;;;;;;
24A;Sint-Bernardsesteenweg;2020;162,88;MFH terraced;10;mixed (residential, services);1923;16,22;5;brick;bitumen, 100 mm MW;0,28;175;gas;double;A;0,6655;2,8;0,444;;;;;;;;
24B;Sint-Bernardsesteenweg;2020;253,50;MFH terraced;10;residential;1923;18,80;5;brick;bitumen, 100 mm MW;0,21;302;gas;double;A;2,703;2,8;0,444;;;;;;;;
24I;Sint-Bernardsesteenweg;2020;188,24;MFH terraced;10;residential;1923;18,77;5;brick;bitumen, 100 mm MW;0,21;302;gas;double;A;2,703;2,8;0,444;;;;;;;;
24O;Jan Davidlei;2020;178,86;MFH terraced;10;residential;1923;18,78;5;brick;bitumen, 100 mm MW;0,21;302;gas;double;A;2,703;2,8;0,444;;;;;;;;
24R;Jan Davidlei;2020;244,06;MFH terraced;10;residential;1923;18,76;5;brick;bitumen, 100 mm MW;0,21;302;gas;double;A;2,703;2,8;0,444;;;;;;;;
24S;Jan Davidlei;2020;172,88;MFH terraced;10;residential;1923;19,12;5;brick;bitumen, 100 mm MW;0,23;140;gas;double;A;0,603;2,8;0,444;;;;;;;;
24U;Max Roosesstraat;2020;179,79;MFH terraced;10;residential;1923;19,11;5;brick;bitumen, 100 mm MW;0,23;140;gas;double;A;0,603;2,8;0,444;;;;;;;;
24V;Max Roosesstraat;2020;173,26;MFH terraced;10;residential;1923;19,19;5;brick;bitumen, 100 mm MW;0,23;149;gas;double;A;0,6655;0;0,444;;;;;;;;
24W;Max Roosesstraat;2020;169,88;MFH terraced;10;residential;1923;19,27;5;brick;bitumen, 100 mm MW;0,23;149;gas;double;A;0,6655;0;0,444;;;;;;;;
24X;Max Roosesstraat;2020;167,06;MFH terraced;10;residential;1923;19,20;5;brick;bitumen, 100 mm MW;0,23;149;gas;double;A;0,6655;0;0,444;;;;;;;;
25A;Jan Davidlei;2020;186,59;MFH terraced;10;residential;1926;21,67;6;brick;;;;gas;;A;;;;;;;;;;;
25F;Jan Davidlei;2020;188,55;MFH terraced;10;residential;1926;22,04;6;brick;bitumen;0,36;143;gas;HR;A;0,6225;1,1;0,444;;;;;;;;
25G;Jan Davidlei;2020;242,95;MFH terraced;10;residential;1926;22,02;6;brick;bitumen;0,36;143;gas;HR;A;0,6225;1,1;0,444;;;;;;;;
25K;Jan Davidlei;2020;241,86;MFH terraced;10;residential;1926;22,01;6;brick;bitumen;0,36;143;gas;HR;A;0,6225;1,1;0,444;;;;;;;;
25Q;Alfons De Cockstraat;2020;162,48;MFH terraced;10;residential;1926;20,60;6;brick;;;;gas;;C+;;;;;;;;;;;
25P;Alfons De Cockstraat;2020;204,68;MFH terraced;12;residential;1926;21,86;6;brick;;;;gas;;C+;;;;;;;;;;;
25D;Jan Davidlei;2020;106,46;MFH terraced;14;residential;1926;21,74;6;brick;;;;gas;;A;;;;;;;;;;;
25N;Jan Davidlei;2020;268,10;MFH terraced;14;residential;1926;21,79;6;brick;;;;gas;;A;;;;;;;;;;;
22D;Maurits Sabbelaan;2020;230,45;MFH terraced;15;residential;1937;19,53;5;brick;;0,00;;gas;;A;;0;;;;;;;;;
22K;Jan Davidlei;2020;256,24;MFH terraced;15;residential;1937;22,06;6;brick;;0,00;;gas;;A;;0;;;;;;;;;
22B;Max Roosesstraat;2020;214,13;MFH terraced;17;residential;1937;19,02;5;brick;;0,00;;gas;;A;;0;;;;;;;;;
22J;Jan Davidlei;2020;313,81;MFH terraced;17;residential;1937;19,16;5;brick;;0,00;;gas;;A;;0;;;;;;;;;
22G;Maurits Sabbelaan;2020;277,24;MFH terraced;17;residential;1937;22,14;6;brick;;0,00;;gas;;A;;0;;;;;;;;;
24K;Sint-Bernardsesteenweg;2020;191,16;MFH terraced;20;residential;1923;16,25;5;brick;bitumen, 100 mm MW;0,21;;gas;double;A;2,703;2,8;0,444;;;;;;;;
24E;Sint-Bernardsesteenweg;2020;269,94;MFH terraced;20;residential;1923;16,26;5;brick;bitumen, 100 mm MW;0,21;;gas;double;A;2,703;2,8;0,444;;;;;;;;
25C;Jan Davidlei;2020;582,39;MFH terraced;21;residential;1926;21,67;6;brick;;;;gas;;A;;;;;;;;;;;
22N;Van Peenestraat;2020;811,21;MFH terraced;25;residential;1937;22,01;6;brick;;0,00;;gas;;A;;0;;;;;;;;;
25J;Jan Davidlei;2020;598,83;MFH terraced;34;residential;1926;21,84;6;brick;;;;gas;;A;;;;;;;;;;;
24G;Sint-Bernardsesteenweg;2020;178,94;MFH semi-detached;7;residential;1923;17,28;5;brick;bitumen, 100 mm MW;0,42;188;gas;double;A;0,855;2,7;0,444;;;;;;;;
24N;Jan Davidlei;2020;200,34;MFH semi-detached;7;residential;1923;19,11;5;brick;bitumen, 100 mm MW;0,21;;gas;double;A;2,703;2,8;0,444;;;;;;;;
7AH;Hendriklei;2020;371,59;MFH semi-detached;8;residential;1960;9,54;3;brick;;0,00;219;gas;double;;;0;;;85,00;;;;;;
23A;Sint-Bernardsesteenweg;2020;190,84;MFH semi-detached;10;residential;1923;18,96;5;brick;bitumen;0,23;173;gas;double;A;0,6655;2,8;0,444;;86,82;;;;;;
